1 990 10 0
2 986 13 1
3 981 17 2
4 975 22 3
5 967 28 5
6 957 36 7
7 944 46 10
8 927 59 14
9 906 75 19
10 880 95 25
11 848 119 33
12 810 148 42
13 764 182 54
14 711 220 69
15 652 262 86
16 587 306 107
17 518 350 132
18 449 391 160
19 383 427 190
20 321 455 224
21 265 474 261
22 217 484 299
23 177 485 338
24 145 479 376
25 118 467 415
26 97 450 453
27 81 431 488
28 68 410 522
29 57 388 555
30 49 365 586
31 42 343 615
32 36 321 643
33 32 299 669
34 28 279 693
35 25 260 715
36 23 241 736
37 21 224 755
38 19 208 773
39 17 193 790
40 16 179 805
41 15 166 819
42 14 153 833
43 13 142 845
44 13 131 856
45 12 121 867
46 11 112 877
47 11 104 885
48 11 96 893
49 10 89 901
50 10 82 908
51 9 76 915
52 9 70 921
53 9 64 927
54 9 60 931
55 9 55 936
56 8 51 941
57 8 47 945
58 8 43 949
59 8 40 952
60 8 37 955
61 8 34 958
62 8 31 961
63 8 29 963
64 7 27 966
65 7 25 968
66 7 23 970
67 7 21 972
68 7 19 974
69 7 18 975
70 7 16 977
71 7 15 978
72 7 14 979
73 7 13 980
74 7 12 981
75 7 11 982
76 7 10 983
77 7 9 984
78 7 9 984
79 7 8 985
80 7 7 986
81 7 7 986
82 7 6 987
83 7 6 987
84 7 5 988
85 7 5 988
86 7 5 988
87 7 4 989
88 7 4 989
89 7 4 989
90 7 3 990
