1 996 4 0
2 996 4 0
3 996 4 0
4 996 4 0
5 995 5 0
6 996 4 0
7 994 6 0
8 992 8 0
9 994 5 1
10 989 10 1
11 989 10 1
12 988 11 1
13 989 10 1
14 988 11 1
15 986 12 2
16 987 11 2
17 985 13 2
18 981 15 4
19 978 18 4
20 977 18 5
21 972 23 5
22 963 31 6
23 959 33 8
24 955 36 9
25 936 51 13
26 939 45 16
27 932 51 17
28 916 66 18
29 908 73 19
30 909 71 20
31 894 85 21
32 874 102 24
33 880 93 27
34 849 123 28
35 822 149 29
36 815 150 35
37 783 181 36
38 749 213 38
39 728 222 50
40 703 238 59
41 652 282 66
42 637 284 79
43 600 309 91
44 548 347 105
45 521 362 117
46 492 374 134
47 455 400 145
48 437 402 161
49 398 416 186
50 363 434 203
51 339 425 236
52 305 432 263
53 291 421 288
54 276 417 307
55 240 423 337
56 226 410 364
57 225 378 397
58 210 357 433
59 192 350 458
60 197 318 485
61 182 295 523
62 177 269 554
63 177 233 590
64 172 216 612
65 165 202 633
66 158 176 666
67 159 151 690
68 155 140 705
69 147 123 730
70 146 109 745
71 143 98 759
72 138 87 775
73 132 83 785
74 130 73 797
75 127 71 802
76 131 56 813
77 132 44 824
78 132 42 826
79 132 38 830
80 134 32 834
81 132 25 843
82 132 22 846
83 132 18 850
84 132 17 851
85 132 15 853
86 132 15 853
87 132 12 856
88 133 10 857
89 132 9 859
90 132 8 860
91 132 7 861
92 132 6 862
93 132 5 863
94 132 4 864
95 132 4 864

