0 995 5 0
1 994 6 0
2 992 8 0
3 990 10 0
4 987 12 1
5 984 15 1
6 980 18 1
7 976 23 2
8 970 28 2
9 962 35 3
10 953 43 3
11 943 53 4
12 929 65 5
13 913 80 7
14 894 97 9
15 872 117 11
16 845 142 13
17 815 169 16
18 779 201 20
19 740 236 24
20 696 275 29
21 649 317 34
22 598 361 41
23 546 406 48
24 493 451 56
25 441 494 65
26 390 535 74
27 342 573 85
28 298 606 96
29 258 635 107
30 222 660 119
31 190 679 131
32 162 694 143
33 139 706 156
34 118 713 168
35 101 718 181
36 87 720 193
37 75 719 206
38 65 717 218
39 57 713 230
40 50 708 242
41 45 702 254
42 40 695 265
43 36 687 276
44 34 679 287
45 31 671 298
46 29 663 308
47 28 654 318
48 27 645 328
49 26 637 337
50 26 628 346
51 25 619 355
52 25 611 364
53 25 602 372
54 25 594 381
55 26 586 389
56 26 578 396
57 26 570 404
58 27 562 411
59 27 555 418
60 28 547 425
61 28 540 431
62 29 533 438
63 30 526 444
64 30 519 450
65 31 513 456
66 32 507 461
67 33 500 467
68 33 494 472
69 34 489 477
70 35 483 482
71 36 477 487
72 36 472 491
73 37 467 496
74 38 462 500
75 39 457 504
76 40 452 508
77 40 447 512
78 41 443 516
79 42 438 520
80 43 434 523
81 44 430 527
82 44 426 530
83 45 422 533
84 46 418 536
85 47 414 539
86 47 411 542
87 48 407 545
88 49 404 547
89 50 401 550
90 50 397 552
91 51 394 555
92 52 391 557
93 52 388 559
94 53 386 561
95 54 383 563
96 55 380 565
97 55 378 567
98 56 375 569
99 57 373 571
100 57 370 573
101 58 368 574
102 58 366 576
103 59 364 577
104 60 361 579
105 60 359 580
106 61 357 582
107 61 356 583
108 62 354 584
109 63 352 585
110 63 350 587
111 64 349 588
112 64 347 589
113 65 345 590
114 65 344 591
115 66 342 592
116 66 341 593
117 67 340 594
118 67 338 594
119 68 337 595
120 68 336 596
121 69 335 597
122 69 333 597
123 70 332 598
124 70 331 599
125 70 330 599
126 71 329 600
127 71 328 601
128 72 327 601
129 72 326 602
130 72 326 602
131 73 325 603
132 73 324 603
133 73 323 603
134 74 322 604
135 74 322 604
136 74 321 605
137 75 320 605
138 75 320 605
139 75 319 606
140 76 318 606
