1 5
2 5
3 5
4 8
5 8
6 7
7 18
8 19
9 16
10 31
11 36
12 43
13 64
14 70
15 76
16 106
17 126
18 142
19 182
20 213
21 248
22 289
23 344
24 425
25 476
26 518
27 589
28 636
29 658
30 714
