0 229969 221 8
1 229876 311 11
2 229798 385 15
3 229548 588 62
4 229310 821 67
5 229070 1049 79
6 228504 1577 117
7 228162 1835 201
8 227696 2263 239
9 227109 2706 383
10 226340 3296 562
11 225562 3916 720
12 224315 5061 822
13 222823 6387 988
14 221026 7985 1187
15 220049 8514 1635
16 217736 10590 1872
17 215085 12839 2274
18 212538 14955 2705
19 209041 17750 3407
20 205451 20603 4144
21 202218 23073 4907
22 198692 26062 5444
23 194485 28710 7003
24 189163 33190 7845
25 183177 37860 9161
26 176620 42681 10897
27 171060 46638 12500
28 166271 50418 13509
29 161022 54030 15146
30 155812 57521 16865
31 149659 62013 18526
32 143700 66414 20084
33 137726 70065 22407
34 132509 73880 23809
35 128459 75528 26211
36 124406 77635 28157
37 119624 80572 30002
38 114956 83049 32193
39 110371 85388 34439
40 105566 88274 36358
41 101250 91246 37702
42 97651 93187 39360
43 94612 94067 41519
44 90776 95262 44160
45 86572 96877 46749
46 82621 98273 49304
47 77927 100269 52002
48 73835 102253 54110
49 70682 103616 55900
50 67710 104291 58197
51 65043 105418 59737
52 61257 106607 62334
53 57764 106962 65472
54 54273 107771 68154
55 51226 108257 70715
56 48970 108237 72991
57 46241 107709 76248
58 42871 107699 79628
59 40225 106848 83125
60 37204 106527 86467
61 34847 105847 89504
62 32523 106103 91572
63 30784 105813 93601
64 28693 105205 96300
65 26607 104657 98934
66 24735 101551 103912
67 22770 100943 106485
68 20870 100704 108624
69 19481 100179 110538
70 18260 99980 111958
71 17185 98467 114546
72 15741 91528 122929
73 14340 89624 126234
74 13013 87961 129224
75 11930 84842 133426
76 11128 83324 135746
77 10384 82488 137326
78 8982 81266 139950
79 8094 78457 143647
80 7102 76440 146656
81 6313 72070 151815
82 5438 70187 154573
83 4763 68351 157084
84 4312 66553 159333
85 3499 65129 161570
86 2834 62752 164612
87 2192 60960 167046
88 1540 59322 169336
89 871 57752 171575
90 340 56594 173264
91 40 55300 174858
92 -357 52942 177613
93 -941 50966 180173
94 -1534 47986 183746
95 -2050 46175 186073
96 -2466 43691 188973
97 -2821 42097 190922
98 -2999 41367 191830
99 -3317 39893 193622
100 -3638 39297 194539
101 -3815 38429 195584
102 -4333 36976 197555
103 -4603 35877 198924
104 -4800 35262 199736
105 -5080 34730 200548
106 -5363 32872 202689
107 -5565 31710 204053
108 -5944 30637 205505
109 -6107 28997 207308
110 -6453 27485 209166
111 -6791 26274 210715
112 -7092 25909 211381
113 -7302 24569 212931
114 -7630 23925 213903
115 -7961 23101 215058
116 -7813 21543 216468
117 -8077 21212 217063
118 -8301 20972 217527
119 -8522 20637 218083
120 -8635 19573 219260
121 -9212 18655 220755
122 -9508 18303 221403
123 -9763 17638 222323
124 -9938 16836 223300
125 -10112 16681 223629
126 -10238 16496 223940
127 -10380 15563 225015
128 -10562 15255 225505
129 -10763 15060 225901
130 -10986 14884 226300
131 -11221 14621 226798
132 -11413 14642 226969
133 -11621 14709 227110
134 -11758 14242 227714
135 -11951 13595 228554
136 -12165 13459 228904
137 -12441 13428 229211
138 -12629 13303 229524
139 -12863 13179 229882
140 -13032 13157 230073
141 -13146 12919 230425
142 -13308 12493 231013
143 -13538 12473 231263
144 -13769 12456 231511
145 -14018 12368 231848
146 -14236 12440 231994
147 -14426 12404 232220
148 -14554 12248 232504
149 -14834 12322 232710
150 -15140 12404 232934
151 -15392 12301 233289
152 -15666 12442 233422
153 -15920 12565 233553
154 -16088 12581 233705
155 -16290 12609 233879
156 -16578 12616 234160
157 -16960 12230 234928
158 -17339 12422 235115
159 -17634 12457 235375
160 -17872 12456 235614
161 -18031 12474 235755
162 -18221 12482 235937
163 -18605 12646 236157
164 -19006 12694 236510
165 -19558 12924 236832
166 -19905 12953 237150
167 -20368 13263 237303
168 -20627 13368 237457
169 -21039 13561 237676
169 -21039 13561 237676
