1,07,16
2,07,10
3,07,16
4,07,15
5,07,34
6,07,56
7,07,61
8,07,39
9,07,45
10,07,55
11,07,92
12,07,86
13,07,71
14,07,110
15,07,109
16,07,136
17,07,263
18,07,194
19,07,201
20,07,206
21,07,223
22,07,233
23,07,189
24,07,234
25,07,201
26,07,223
27,07,188
28,07,138
29,07,170
30,07,197
31,07,142
32,08,191
33,08,200
34,08,190
35,08,199
36,08,139
37,08,139
38,08,132
39,08,131
40,08,104
41,08,94
42,08,68
43,08,86
44,08,83
45,08,74
46,08,60
47,08,65
48,08,54
49,08,40
50,08,39
51,08,26
52,08,33
53,08,27
54,08,25
55,08,27
56,08,31
57,08,45
58,08,31
59,08,34
60,08,24
